date,price
07-09-1984,0.0924
10-09-1984,0.0924
11-09-1984,0.0929
12-09-1984,0.0937
13-09-1984,0.0959
14-09-1984,0.0963
17-09-1984,0.0998
18-09-1984,0.0998
19-09-1984,0.0963
20-09-1984,0.0946
21-09-1984,0.0946
24-09-1984,0.0937
25-09-1984,0.0924
26-09-1984,0.0911
27-09-1984,0.0898
28-09-1984,0.0898
01-10-1984,0.0872
02-10-1984,0.0863
03-10-1984,0.0876
04-10-1984,0.0885
05-10-1984,0.0885
08-10-1984,0.0868
09-10-1984,0.0868
10-10-1984,0.0859
11-10-1984,0.0833
12-10-1984,0.0828
15-10-1984,0.0837
16-10-1984,0.0837
17-10-1984,0.0868
18-10-1984,0.0894
19-10-1984,0.0894
22-10-1984,0.0894
23-10-1984,0.0907
24-10-1984,0.0916
25-10-1984,0.0916
26-10-1984,0.0881
29-10-1984,0.0863
30-10-1984,0.0872
31-10-1984,0.0872
01-11-1984,0.0872
02-11-1984,0.0872
05-11-1984,0.0868
06-11-1984,0.0916
07-11-1984,0.0916
08-11-1984,0.0898
09-11-1984,0.0863
12-11-1984,0.0841
13-11-1984,0.0841
14-11-1984,0.0828
15-11-1984,0.0828
16-11-1984,0.0828
19-11-1984,0.0811
20-11-1984,0.0789
21-11-1984,0.0806
23-11-1984,0.0815
26-11-1984,0.0837
27-11-1984,0.0859
28-11-1984,0.0902
29-11-1984,0.0902
30-11-1984,0.0885
03-12-1984,0.0863
04-12-1984,0.0868
05-12-1984,0.0911
06-12-1984,0.0955
07-12-1984,0.0955
10-12-1984,0.0951
11-12-1984,0.0933
12-12-1984,0.092
13-12-1984,0.0898
14-12-1984,0.0898
17-12-1984,0.0942
18-12-1984,0.0998
19-12-1984,0.0998
20-12-1984,0.0959
21-12-1984,0.0955
24-12-1984,0.0959
26-12-1984,0.0963
27-12-1984,0.0968
28-12-1984,0.0968
31-12-1984,0.1016
02-01-1985,0.1016
03-01-1985,0.099
04-01-1985,0.099
07-01-1985,0.099
08-01-1985,0.0985
09-01-1985,0.1003
10-01-1985,0.1046
11-01-1985,0.1046
14-01-1985,0.1068
15-01-1985,0.1068
16-01-1985,0.1055
17-01-1985,0.1055
18-01-1985,0.0981
21-01-1985,0.102
22-01-1985,0.1051
23-01-1985,0.1051
24-01-1985,0.1033
25-01-1985,0.1012
28-01-1985,0.1055
29-01-1985,0.1055
30-01-1985,0.1042
31-01-1985,0.1042
01-02-1985,0.1012
04-02-1985,0.102
05-02-1985,0.1029
06-02-1985,0.1046
07-02-1985,0.1046
08-02-1985,0.1042
11-02-1985,0.1064
12-02-1985,0.1064
13-02-1985,0.1038
14-02-1985,0.099
15-02-1985,0.0963
19-02-1985,0.0972
20-02-1985,0.0963
21-02-1985,0.0937
22-02-1985,0.0937
25-02-1985,0.0963
26-02-1985,0.0951
27-02-1985,0.0933
28-02-1985,0.0876
01-03-1985,0.0863
04-03-1985,0.0881
05-03-1985,0.0902
06-03-1985,0.0902
07-03-1985,0.0859
08-03-1985,0.0772
11-03-1985,0.0776
12-03-1985,0.0802
13-03-1985,0.0802
14-03-1985,0.0759
15-03-1985,0.0759
18-03-1985,0.0798
19-03-1985,0.0798
20-03-1985,0.0776
21-03-1985,0.0789
22-03-1985,0.0789
25-03-1985,0.0776
26-03-1985,0.0785
27-03-1985,0.0785
28-03-1985,0.0763
29-03-1985,0.0763
01-04-1985,0.0772
02-04-1985,0.0754
03-04-1985,0.0733
04-04-1985,0.0733
08-04-1985,0.0728
09-04-1985,0.0684
10-04-1985,0.0733
11-04-1985,0.0745
12-04-1985,0.0745
15-04-1985,0.0745
16-04-1985,0.0754
17-04-1985,0.0789
18-04-1985,0.0798
19-04-1985,0.0798
22-04-1985,0.0785
23-04-1985,0.0772
24-04-1985,0.0772
25-04-1985,0.0767
26-04-1985,0.0767
29-04-1985,0.0763
30-04-1985,0.0741
01-05-1985,0.0741
02-05-1985,0.0719
03-05-1985,0.0671
06-05-1985,0.0698
07-05-1985,0.0698
08-05-1985,0.0693
09-05-1985,0.0698
10-05-1985,0.0698
13-05-1985,0.0706
14-05-1985,0.0698
15-05-1985,0.0698
16-05-1985,0.0745
17-05-1985,0.0745
20-05-1985,0.0759
21-05-1985,0.0741
22-05-1985,0.0724
23-05-1985,0.0715
24-05-1985,0.0689
28-05-1985,0.0623
29-05-1985,0.0597
30-05-1985,0.0615
31-05-1985,0.0615
03-06-1985,0.0593
04-06-1985,0.0602
05-06-1985,0.0602
06-06-1985,0.0593
07-06-1985,0.0593
10-06-1985,0.0571
11-06-1985,0.0562
12-06-1985,0.0562
13-06-1985,0.0549
14-06-1985,0.0519
17-06-1985,0.0519
18-06-1985,0.0532
19-06-1985,0.0545
20-06-1985,0.0549
21-06-1985,0.0562
24-06-1985,0.0602
25-06-1985,0.061
26-06-1985,0.0632
27-06-1985,0.0641
28-06-1985,0.0641
01-07-1985,0.0632
02-07-1985,0.0632
03-07-1985,0.061
05-07-1985,0.0615
08-07-1985,0.0615
09-07-1985,0.0615
10-07-1985,0.0628
11-07-1985,0.0628
12-07-1985,0.0628
15-07-1985,0.0623
16-07-1985,0.0619
17-07-1985,0.0615
18-07-1985,0.0615
19-07-1985,0.0606
22-07-1985,0.0606
23-07-1985,0.0588
24-07-1985,0.0576
25-07-1985,0.058
26-07-1985,0.058
29-07-1985,0.058
30-07-1985,0.0567
31-07-1985,0.0567
01-08-1985,0.0554
